"","tr_auc","te_auc","iter","cancer_type","agg_level","win_len","type","type1"
"85",0.875370747310265,0.553156146179402,25,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"86",0.876708345449258,0.678294573643411,26,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"87",0.863884850247165,0.622369878183832,27,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"88",0.86263448676941,0.65374677002584,28,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"89",0.828961907531259,0.686046511627907,29,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"90",0.864902587961617,0.625507567368032,30,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"91",0.668840285667911,0.59019424396329,1,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"92",0.662286966401558,0.592020850040096,2,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"93",0.665151761077747,0.549897531854228,3,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"94",0.682336471352053,0.507863316403814,4,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"95",0.672459827950008,0.562616947340283,5,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"96",0.684454633987989,0.515860286910808,6,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"97",0.689291511118325,0.549607947964003,7,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"98",0.680973056322026,0.580682526953577,8,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"99",0.664770329491966,0.557070302058273,9,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"100",0.659158415841584,0.54276931301791,10,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"101",0.662583184547963,0.509756749532211,11,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"102",0.640155818860575,0.578699991089726,12,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"103",0.666486771627982,0.510090884790163,13,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"104",0.661690472325921,0.567339392319344,14,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"105",0.674204674565817,0.583667468591286,15,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"106",0.691296055835092,0.557760848258042,16,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"107",0.65327868852459,0.5156820814399,17,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"108",0.654171400746632,0.507885592087677,18,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"109",0.636150787209869,0.562104606611423,19,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"110",0.665999837688687,0.549919807538091,20,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"111",0.67581561434832,0.543816270159494,21,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"112",0.675300275929232,0.517798271406932,22,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"113",0.656391007953254,0.578254477412457,23,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"114",0.654524427852621,0.558740978348035,24,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"115",0.668811881188119,0.577430277109507,25,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"116",0.639701347183899,0.561057649469839,26,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"117",0.675426067196884,0.551924619085806,27,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"118",0.658196721311475,0.570725296266595,28,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"119",0.669404317480928,0.538447830348392,29,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"120",0.67914299626684,0.593223736968725,30,"bone","99.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"121",0.663932584269663,0.564051522248244,1,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"122",0.689009831460674,0.593052302888368,2,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"123",0.710393258426966,0.504449648711944,3,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"124",0.718932584269663,0.542505854800937,4,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"125",0.744424157303371,0.594925839188134,5,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"126",0.689908707865169,0.557142857142857,6,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"127",0.709051966292135,0.614597970335675,7,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"128",0.690477528089888,0.402732240437158,8,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"129",0.704543539325843,0.542779078844653,9,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"130",0.690126404494382,0.523341139734582,10,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"131",0.665919943820225,0.535011709601873,11,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"132",0.676994382022472,0.559875097580016,12,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"133",0.704044943820225,0.532903981264637,13,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"134",0.680154494382022,0.557298985167838,14,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"135",0.662387640449438,0.595862607338017,15,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"136",0.728813202247191,0.636338797814208,16,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"137",0.68686797752809,0.484621389539422,17,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"138",0.659719101123595,0.593247462919594,18,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"139",0.676629213483146,0.604410616705699,19,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"140",0.656678370786517,0.545160031225605,20,"bone","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
